"idState","popYear","population"
23,2017,5900133.00
24,2017,18465227.00
25,2017,34666108.00
26,2017,50800660.00
27,2017,28947742.00
28,2017,10485806.00
29,2017,22896299.00
30,2017,3799876.00
31,2017,7740298.00
32,2017,10485353.00
33,2017,6198254.00
34,2017,44017552.00
35,2017,7652067.00
36,2017,91226829.00
37,2017,36588536.00
38,2017,4111485.00
39,2017,63997408.00
40,2017,14814776.00
41,2017,15340039.00
42,2017,59189986.00
44,2017,5138628.00
45,2017,16881465.00
46,2017,4627867.00
47,2017,25525412.00
48,2017,105737820.00
49,2017,12203419.00
50,2017,2865618.00
51,2017,26906858.00
53,2017,27117016.00
54,2017,6070879.00
55,2017,31512804.00
56,2017,2135638.00
1,2018,17651206.00
2,2018,2700937.00
4,2018,27165967.00
5,2018,11020848.00
6,2018,151272883.00
8,2018,21295893.00
9,2018,17120645.00
10,2018,3170223.00
11,2018,2806188.00
12,2018,74414125.00
13,2018,36820800.00
15,2018,4167989.00
16,2018,6480738.00
17,2018,73919148.00
18,2018,39162618.00
19,2018,11963137.00
20,2018,16281496.00
21,2018,17371687.00
22,2018,15994617.00
23,2018,5918653.00
24,2018,18492854.00
25,2018,34775101.00
26,2018,50830637.00
27,2018,29158121.00
28,2018,10454634.00
29,2018,22949521.00
30,2018,3828102.00
31,2018,7771662.00
32,2018,10689021.00
33,2018,6217748.00
34,2018,44016228.00
35,2018,7657103.00
36,2018,90974032.00
37,2018,37004497.00
38,2018,4130209.00
39,2018,64088588.00
40,2018,14849560.00
41,2018,15482510.00
42,2018,59228284.00
44,2018,5152468.00
45,2018,17093289.00
46,2018,4661201.00
47,2018,25760065.00
48,2018,106962585.00
49,2018,12410356.00
50,2018,2866108.00
51,2018,27009983.00
53,2018,27481268.00
54,2018,6026076.00
55,2018,31599497.00
56,2018,2130141.00
1,2019,17708542.00
2,2019,2687341.00
4,2019,27627558.00
5,2019,11054564.00
6,2019,151471659.00
8,2019,21555259.00
9,2019,17089107.00
10,2019,3197408.00
11,2019,2822996.00
12,2019,75206571.00
13,2019,37199299.00
15,2019,4151371.00
16,2019,6618823.00
17,2019,73627377.00
18,2019,39385284.00
19,2019,11989765.00
20,2019,16293820.00
21,2019,17392377.00
22,2019,15952293.00
23,2019,5939571.00
24,2019,18512840.00
25,2019,34814797.00
26,2019,50820209.00
27,2019,29337058.00
28,2019,10433992.00
29,2019,23006635.00
30,2019,3857137.00
31,2019,7799544.00
32,2019,10880183.00
33,2019,6245984.00
34,2019,43996306.00
35,2019,7673367.00
36,2019,90640314.00
37,2019,37393753.00
38,2019,4152370.00
39,2019,64159508.00
40,2019,14915066.00
41,2019,15616956.00
42,2019,59212346.00
44,2019,5158850.00
45,2019,17311704.00
46,2019,4696261.00
47,2019,25972788.00
48,2019,108308143.00
49,2019,12617285.00
50,2019,2864431.00
51,2019,27103333.00
53,2019,27815188.00
54,2019,5984336.00
55,2019,31677485.00
56,2019,2133993.00
